case_id,case_idx,model,family,section,ground_truth,prediction,prediction_normalized,differentials
18935.0,72,GPT-5-mini,proprietary,Neuroradiology,Intracranial tuberculoma,High-grade glioma,high-grade glioma,"High-grade glioma, Solitary brain metastasis, Intracranial tuberculoma, Infective aetiology (tuberculous/fungal)"
18954.0,83,GPT-5-mini,proprietary,Musculoskeletal system,Telangiectatic osteosarcoma,Aneurysmal bone cyst,aneurysmal bone cyst,"Telangiectatic osteosarcoma, Aneurysmal bone cyst, Giant cell tumour"
18967.0,91,GPT-5-mini,proprietary,Musculoskeletal system,Solitary bone plasmacytoma,Lymphoma,lymphoma,"Osteolytic metastasis, Pott’s disease, Solitary bone plasmacytoma, Lymphoma, Chronic osteomyelitis, Primary sarcoma"
18993.0,104,GPT-5-mini,proprietary,Abdominal imaging,Primary hepatic adenosarcoma,Hepatic cholangiocarcinoma,hepatic cholangiocarcinoma,"Hepatic cholangiocarcinoma, Primary hepatic adenosarcoma, Undifferentiated carcinoma (also known as sarcomatoid carcinoma), Hepatic fibroadenoma"
19002.0,111,GPT-5-mini,proprietary,Paediatric radiology,Retroperitoneal ganglioneuroblastoma-intermixed,Ganglioneuroma,ganglioneuroma,"Ganglioneuroma, Neuroblastoma, Retroperitoneal ganglioneuroblastoma-intermixed, Peripheral nerve sheath tumour, Paraganglioma"
19015.0,118,GPT-5-mini,proprietary,Chest imaging,Pulmonary amyloidosis,Malignant neoplasia,malignant neoplasia,"Malignant neoplasia, Metastatic, Rheumatoid nodules, Pulmonary amyloidosis, Fungal lesions, Lymphomas"
19024.0,124,GPT-5-mini,proprietary,Chest imaging,Usual interstitial pneumonia secondary to connective tissue disorder,Usual interstitial pneumonia due to idiopathic pulmonary fibrosis,usual interstitial pneumonia due to idiopathic pulmonary fibrosis,"Usual interstitial pneumonia due to idiopathic pulmonary fibrosis, Usual interstitial pneumonia secondary to connective tissue disorder, Non-specific interstitial pneumonia, Lymphoid interstitial pneumonia"
19038.0,133,GPT-5-mini,proprietary,Cardiovascular,Saw-tooth cardiomyopathy,Left ventricular noncompaction,left ventricular noncompaction,"Left ventricular noncompaction, Saw-tooth cardiomyopathy, Hypertrophic cardiomyopathy, Arrhythmogenic cardiomyopathy"
19044.0,136,GPT-5-mini,proprietary,Neuroradiology,Chorea-acanthocytosis,Huntington’s disease,huntingtons disease,"Chorea-acanthocytosis, Huntington’s disease, Neuroacanthocytosis syndrome"
19058.0,142,GPT-5-mini,proprietary,Abdominal imaging,Intraductal papillary neoplasm of the bile duct with low-grade dysplasia,Cholangiocarcinoma,cholangiocarcinoma,"Intraductal papillary neoplasm of the bile duct, Intraductal papillary neoplasm of the bile duct with low-grade dysplasia, Cholangiocarcinoma, Intraductal biliary metastasis"
19067.0,150,GPT-5-mini,proprietary,Paediatric radiology,Cystic pulmonary tuberculosis,Langerhans cell histiocytosis,langerhans cell histiocytosis,"Pneumocystis jirovecii pneumonia, Lymphoid interstitial pneumonia, Langerhans cell histiocytosis, Cystic pulmonary tuberculosis, Lymphangioleiomyomatosis, Birt–Hogg–Dubé syndrome"
19070.0,152,GPT-5-mini,proprietary,Musculoskeletal system,Clear cell soft tissue sarcoma with melanocytic differentiation,Clear cell sarcoma,clear cell sarcoma,"Clear cell sarcoma, Malignant melanoma, Clear cell soft tissue sarcoma with melanocytic differentiation, Pigment villonodular synovitis with malignant transformation, Synovial sarcoma, Alveolar soft part sarcoma, Malignant peripheral nerve sheath tumour"
19086.0,160,GPT-5-mini,proprietary,Abdominal imaging,Oesophageal-vulvar syndrome,Benign mesenchymal tumour,benign mesenchymal tumour,"Lymphoma, Sarcoma, Benign mesenchymal tumour, Oesophageal-vulvar syndrome"
19101.0,168,GPT-5-mini,proprietary,Neuroradiology,Neuro-Behçet’s disease,Myelin oligodendrocyte glycoprotein antibody disease (MOGAD),myelin oligodendrocyte glycoprotein antibody disease mogad,"Multiple sclerosis, Neuro-Behçet’s disease, Aquaporin-4 IgG-positive neuromyelitis optica spectrum disorders (AQP4-NMOSD), Myelin oligodendrocyte glycoprotein antibody disease (MOGAD), Neurosarcoidosis"
19110.0,170,GPT-5-mini,proprietary,Others,Inflammatory myofibroblastic tumour,Multicystic lymphangioma,multicystic lymphangioma,"Ovarian epithelial cystadenoma, Ovarian epithelial cystadenocarcinoma, Hydrosalpinx, Inflammatory myofibroblastic tumour, Cystic mature teratoma, Retroperitoneal myxoid liposarcoma, Multicystic lymphangioma"
19114.0,171,GPT-5-mini,proprietary,Neuroradiology,Rosette-forming glioneuronal tumour (RGNT),Ependymoma,ependymoma,"Pilocytic astrocytoma, Ependymoma, Dysembryoplastic neuroepithelial tumour (DNET), Rosette-forming glioneuronal tumour (RGNT), Ganglioglioma, Medulloblastoma"
19116.0,173,GPT-5-mini,proprietary,Others,Mixed malignant ovarian germ cell tumour,Dysgerminoma,dysgerminoma,"Dysgerminoma, Yolk sac tumour, Juvenile granulosa cell tumour, Mixed malignant ovarian germ cell tumour, Sertoli–Leydig cell tumour, Immature teratoma"
19119.0,175,GPT-5-mini,proprietary,Paediatric radiology,B-cell acute lymphoblastic lymphoma (small round blue cell tumour),Ewing sarcoma (or other small round blue cell tumour),ewing sarcoma or other small round blue cell tumour,"Osteomyelitis, Osteosarcoma, B-cell acute lymphoblastic lymphoma (small round blue cell tumour), Ewing sarcoma (or other small round blue cell tumour), Langerhans cell histiocytosis, Occult fracture in the early stage"
19138.0,186,GPT-5-mini,proprietary,Musculoskeletal system,Chondroblastic osteosarcoma,Classical osteosarcoma,classical osteosarcoma,"Chondrosarcoma, Chondroblastoma, Chondroblastic osteosarcoma, Classical osteosarcoma"
19140.0,188,GPT-5-mini,proprietary,Musculoskeletal system,Infection by Mycobacterium avium,Infection by Mycobacterium tuberculosis,infection by mycobacterium tuberculosis,"Infection by Mycobacterium avium, Infection by Mycobacterium tuberculosis, Pyogenic arthritis, Inflammatory arthritis"
19141.0,189,GPT-5-mini,proprietary,Neuroradiology,Anaplastic meningioma (WHO Grade III),Haemorrhagic meningioma,haemorrhagic meningioma,"Subacute subdural haematoma, Dural metastasis, Haemorrhagic meningioma, Anaplastic meningioma (WHO Grade III), Lymphoma involving the dura, Infective pachymeningitis"
19149.0,194,GPT-5-mini,proprietary,Paediatric radiology,MASA syndrome,Tubulinopathy,tubulinopathy,"Rhombencephalosynapsis, MASA syndrome, Chiari type II malformation, Tubulinopathy, α-dystroglycanopathies (and Walker–Warburg syndrome), Acquired causes of congenital aqueductal stenosis"
19158.0,200,GPT-5-mini,proprietary,Paediatric radiology,"Paediatric-type diffuse low-grade glioma, MAP kinase pathway altered (FGFR1::TACC1 fusion)",Dysplastic cerebellar gangliocytoma,dysplastic cerebellar gangliocytoma,"Dysplastic cerebellar gangliocytoma, Pilocytic astrocytoma, Paediatric-type diffuse low-grade glioma, MAP kinase pathway altered (FGFR1::TACC1 fusion), Oligodendroglioma-like tumour"
19161.0,203,GPT-5-mini,proprietary,Musculoskeletal system,Mycobacterium kansasii tenosynovitis,Tuberculous tenosynovitis,tuberculous tenosynovitis,"Rheumatoid arthritis, Juvenile idiopathic arthritis, Adult Still’s disease, Tuberculous tenosynovitis, Mycobacterium kansasii tenosynovitis, Atypical mycobacterial infection (Mycobacterium marinum), Bacterial tenosynovitis, Fungal infections"
18826.0,5,Gemini 3.1 Pro,proprietary,Neuroradiology,Tumefactive demyelination with open ring sign,Tumefactive demyelinating lesion,tumefactive demyelinating lesion,"Tumefactive demyelination with open ring sign, Tumefactive demyelinating lesion, CNS neoplasm, Brain metastasis, Brain abscess, Granulomatous disease, Vasculitis, Acute demyelinating encephalitis"
18855.0,24,Gemini 3.1 Pro,proprietary,Cardiovascular,Malignant mitral valve prolapse with subendocardial late enhancement,Mitral valve prolapse related replacement fibrosis,mitral valve prolapse related replacement fibrosis,"Myocardial replacement fibrosis secondary to Ischemia in LCx territory, Malignant mitral valve prolapse with subendocardial late enhancement, Mitral valve prolapse related replacement fibrosis, Replacement fibrosis related to sarcoidosis, Not specific replacement fibrosis, Hypertrophic cardiomyopathy"
18897.0,49,Gemini 3.1 Pro,proprietary,Musculoskeletal system,Central/low-grade osteosarcoma,Liposarcoma,liposarcoma,"Central/low-grade osteosarcoma, Giant cell tumour, Aneurysmal bone cyst, Metastasis, Liposarcoma, Fibrous dysplasia"
18935.0,72,Gemini 3.1 Pro,proprietary,Neuroradiology,Intracranial tuberculoma,High-grade glioma,high-grade glioma,"High-grade glioma, Solitary brain metastasis, Intracranial tuberculoma, Infective aetiology (tuberculous/fungal)"
18967.0,91,Gemini 3.1 Pro,proprietary,Musculoskeletal system,Solitary bone plasmacytoma,Lymphoma,lymphoma,"Osteolytic metastasis, Pott’s disease, Solitary bone plasmacytoma, Lymphoma, Chronic osteomyelitis, Primary sarcoma"
19002.0,111,Gemini 3.1 Pro,proprietary,Paediatric radiology,Retroperitoneal ganglioneuroblastoma-intermixed,Ganglioneuroma,ganglioneuroma,"Ganglioneuroma, Neuroblastoma, Retroperitoneal ganglioneuroblastoma-intermixed, Peripheral nerve sheath tumour, Paraganglioma"
19044.0,136,Gemini 3.1 Pro,proprietary,Neuroradiology,Chorea-acanthocytosis,Huntington’s disease,huntingtons disease,"Chorea-acanthocytosis, Huntington’s disease, Neuroacanthocytosis syndrome"
19067.0,150,Gemini 3.1 Pro,proprietary,Paediatric radiology,Cystic pulmonary tuberculosis,Pneumocystis jirovecii pneumonia,pneumocystis jirovecii pneumonia,"Pneumocystis jirovecii pneumonia, Lymphoid interstitial pneumonia, Langerhans cell histiocytosis, Cystic pulmonary tuberculosis, Lymphangioleiomyomatosis, Birt–Hogg–Dubé syndrome"
19070.0,152,Gemini 3.1 Pro,proprietary,Musculoskeletal system,Clear cell soft tissue sarcoma with melanocytic differentiation,Malignant peripheral nerve sheath tumour,malignant peripheral nerve sheath tumour,"Clear cell sarcoma, Malignant melanoma, Clear cell soft tissue sarcoma with melanocytic differentiation, Pigment villonodular synovitis with malignant transformation, Synovial sarcoma, Alveolar soft part sarcoma, Malignant peripheral nerve sheath tumour"
19086.0,160,Gemini 3.1 Pro,proprietary,Abdominal imaging,Oesophageal-vulvar syndrome,Benign mesenchymal tumour,benign mesenchymal tumour,"Lymphoma, Sarcoma, Benign mesenchymal tumour, Oesophageal-vulvar syndrome"
19101.0,168,Gemini 3.1 Pro,proprietary,Neuroradiology,Neuro-Behçet’s disease,Myelin oligodendrocyte glycoprotein antibody disease (MOGAD),myelin oligodendrocyte glycoprotein antibody disease mogad,"Multiple sclerosis, Neuro-Behçet’s disease, Aquaporin-4 IgG-positive neuromyelitis optica spectrum disorders (AQP4-NMOSD), Myelin oligodendrocyte glycoprotein antibody disease (MOGAD), Neurosarcoidosis"
19110.0,170,Gemini 3.1 Pro,proprietary,Others,Inflammatory myofibroblastic tumour,Ovarian epithelial cystadenoma,ovarian epithelial cystadenoma,"Ovarian epithelial cystadenoma, Ovarian epithelial cystadenocarcinoma, Hydrosalpinx, Inflammatory myofibroblastic tumour, Cystic mature teratoma, Retroperitoneal myxoid liposarcoma, Multicystic lymphangioma"
19116.0,173,Gemini 3.1 Pro,proprietary,Others,Mixed malignant ovarian germ cell tumour,Dysgerminoma,dysgerminoma,"Dysgerminoma, Yolk sac tumour, Juvenile granulosa cell tumour, Mixed malignant ovarian germ cell tumour, Sertoli–Leydig cell tumour, Immature teratoma"
19138.0,186,Gemini 3.1 Pro,proprietary,Musculoskeletal system,Chondroblastic osteosarcoma,Classical osteosarcoma,classical osteosarcoma,"Chondrosarcoma, Chondroblastoma, Chondroblastic osteosarcoma, Classical osteosarcoma"
19140.0,188,Gemini 3.1 Pro,proprietary,Musculoskeletal system,Infection by Mycobacterium avium,Infection by Mycobacterium tuberculosis,infection by mycobacterium tuberculosis,"Infection by Mycobacterium avium, Infection by Mycobacterium tuberculosis, Pyogenic arthritis, Inflammatory arthritis"
19141.0,189,Gemini 3.1 Pro,proprietary,Neuroradiology,Anaplastic meningioma (WHO Grade III),Dural metastasis,dural metastasis,"Subacute subdural haematoma, Dural metastasis, Haemorrhagic meningioma, Anaplastic meningioma (WHO Grade III), Lymphoma involving the dura, Infective pachymeningitis"
19161.0,203,Gemini 3.1 Pro,proprietary,Musculoskeletal system,Mycobacterium kansasii tenosynovitis,Tuberculous tenosynovitis,tuberculous tenosynovitis,"Rheumatoid arthritis, Juvenile idiopathic arthritis, Adult Still’s disease, Tuberculous tenosynovitis, Mycobacterium kansasii tenosynovitis, Atypical mycobacterial infection (Mycobacterium marinum), Bacterial tenosynovitis, Fungal infections"
18829.0,7,DeepSeek-R1,open_large,Abdominal imaging,Ischiorectal liposarcoma,Tailgut cyst,tailgut cyst,"Extragonadal germ cell tumour, Ischiorectal liposarcoma, Dermoid cyst, Tailgut cyst, Perineal epidermal cyst, Anterior sacral meningocele"
18836.0,12,DeepSeek-R1,open_large,Paediatric radiology,"OEIS (omphalocele, cloacal exstrophy, imperforate anus, and spinal dysraphism) complex",,,"VACTERL association, Caudal regression syndrome, Pentalogy of Cantrell, Beckwith-Wiedemann syndrome, OEIS (omphalocele, cloacal exstrophy, imperforate anus, and spinal dysraphism) complex"
18878.0,39,DeepSeek-R1,open_large,Paediatric radiology,Metastatic pro-B type acute lymphoblastic leukaemia,Sarcoidosis,sarcoidosis,"Metastatic pro-B type acute lymphoblastic leukaemia, Lymphoma, Primary visceral organ malignancies, Sarcoidosis"
18881.0,42,DeepSeek-R1,open_large,Paediatric radiology,Duodenum inversum,Intestinal malrotation,intestinal malrotation,"Duodenum inversum, Redundant duodenum, Intestinal malrotation"
18890.0,45,DeepSeek-R1,open_large,Head & neck imaging,Choroidal detachment and posterior scleritis,Sarcoidosis,sarcoidosis,"Systemic lupus erythematous, Choroidal detachment and posterior scleritis, Acute glaucoma, Sarcoidosis, IgG4 related disease, Vogt-Koyanagi-Harada (VKH) syndrome"
18897.0,49,DeepSeek-R1,open_large,Musculoskeletal system,Central/low-grade osteosarcoma,Liposarcoma,liposarcoma,"Central/low-grade osteosarcoma, Giant cell tumour, Aneurysmal bone cyst, Metastasis, Liposarcoma, Fibrous dysplasia"
18906.0,55,DeepSeek-R1,open_large,Neuroradiology,Calcified pseudoneoplasm of the neuraxis,Calcified cavernoma,calcified cavernoma,"Calcified meningioma, Calcified cavernoma, Calcified pseudoneoplasm of the neuraxis, Oligodendrogliomas, Choroid plexus papilloma"
18919.0,61,DeepSeek-R1,open_large,Abdominal imaging,Lymphoepithelial cysts of the pancreas,Mucinous cystic neoplasm,mucinous cystic neoplasm,"Intraductal papillary mucinous neoplasm, Mucinous cystic neoplasm, Lymphoepithelial cysts of the pancreas, Serous cystic neoplasm, Pancreatic pseudocyst, Epidermoid cyst"
18927.0,68,DeepSeek-R1,open_large,Head & neck imaging,Skull base chondrosarcoma,Skull base chordoma,skull base chordoma,"Skull base chordoma, Skull base chondrosarcoma, Skull base paraganglioma, Giant cell tumour of the skull base, Langerhans cell histiocytosis of the skull base"
18935.0,72,DeepSeek-R1,open_large,Neuroradiology,Intracranial tuberculoma,High-grade glioma,high-grade glioma,"High-grade glioma, Solitary brain metastasis, Intracranial tuberculoma, Infective aetiology (tuberculous/fungal)"
18948.0,78,DeepSeek-R1,open_large,Abdominal imaging,Myelolipoma,Hibernoma,hibernoma,"Liposarcoma, Hibernoma, Haemangioma, Myelolipoma, Fat necrosis"
18950.0,80,DeepSeek-R1,open_large,Paediatric radiology,Cochlear incomplete partition type III (IP-3),Cochlear incomplete partition type II (IP-2),cochlear incomplete partition type ii ip-2,"Cochlear incomplete partition type I (IP-1), Cochlear incomplete partition type II (IP-2), Cochlear incomplete partition type III (IP-3)"
18951.0,81,DeepSeek-R1,open_large,Cardiovascular,"Biventricular endomyocardial fibrosis [4,6]",Biventricular endomyocardial fibrosis [4,biventricular endomyocardial fibrosis 4,"Apical hypertrophic cardiomyopathy [9], Cardiac amyloidosis [10], Ebstein’s anomaly [11], Left ventricular endomyocardial fibrosis [4,6], Right ventricular endomyocardial fibrosis [4,6], Biventricular endomyocardial fibrosis [4,6]"
18974.0,95,DeepSeek-R1,open_large,Abdominal imaging,Accessory liver lobe,Focal nodular hyperplasia,focal nodular hyperplasia,"Ectopic liver lobe, Accessory liver lobe, Lymph nodes, Focal nodular hyperplasia, Hypertrophic papillary process of the caudate lobe"
18993.0,104,DeepSeek-R1,open_large,Abdominal imaging,Primary hepatic adenosarcoma,Hepatic cholangiocarcinoma,hepatic cholangiocarcinoma,"Hepatic cholangiocarcinoma, Primary hepatic adenosarcoma, Undifferentiated carcinoma (also known as sarcomatoid carcinoma), Hepatic fibroadenoma"
19002.0,111,DeepSeek-R1,open_large,Paediatric radiology,Retroperitoneal ganglioneuroblastoma-intermixed,Ganglioneuroma,ganglioneuroma,"Ganglioneuroma, Neuroblastoma, Retroperitoneal ganglioneuroblastoma-intermixed, Peripheral nerve sheath tumour, Paraganglioma"
19015.0,118,DeepSeek-R1,open_large,Chest imaging,Pulmonary amyloidosis,Malignant neoplasia,malignant neoplasia,"Malignant neoplasia, Metastatic, Rheumatoid nodules, Pulmonary amyloidosis, Fungal lesions, Lymphomas"
19021.0,122,DeepSeek-R1,open_large,Abdominal imaging,Solitary fibrous tumour,Rectal gastrointestinal stromal tumour,rectal gastrointestinal stromal tumour,"Leiomyosarcoma, Leiomyoma, Dedifferentiated liposarcoma, Angiomyolipoma, Rectal gastrointestinal stromal tumour, Solitary fibrous tumour, Fibroma, Fibrosarcoma, Desmoid tumour, Haemangioma, Angiosarcoma"
19022.0,123,DeepSeek-R1,open_large,Abdominal imaging,Vesico-appendiceal fistula,Vesico-intestinal fistula,vesico-intestinal fistula,"Vesico-appendiceal fistula, Vesico-intestinal fistula, Vesicovaginal fistula"
19024.0,124,DeepSeek-R1,open_large,Chest imaging,Usual interstitial pneumonia secondary to connective tissue disorder,Usual interstitial pneumonia due to idiopathic pulmonary fibrosis,usual interstitial pneumonia due to idiopathic pulmonary fibrosis,"Usual interstitial pneumonia due to idiopathic pulmonary fibrosis, Usual interstitial pneumonia secondary to connective tissue disorder, Non-specific interstitial pneumonia, Lymphoid interstitial pneumonia"
19028.0,127,DeepSeek-R1,open_large,Abdominal imaging,Intrahepatic splenosis,Hepatocellular carcinoma,hepatocellular carcinoma,"Atypical haemangioma, Liver adenoma, Hepatocellular carcinoma, Intrahepatic splenosis, Accessory spleen, Metastasis"
19038.0,133,DeepSeek-R1,open_large,Cardiovascular,Saw-tooth cardiomyopathy,Left ventricular noncompaction,left ventricular noncompaction,"Left ventricular noncompaction, Saw-tooth cardiomyopathy, Hypertrophic cardiomyopathy, Arrhythmogenic cardiomyopathy"
19041.0,135,DeepSeek-R1,open_large,Musculoskeletal system,Split hand/split foot malformation (SHFM),Roberts syndrome,roberts syndrome,"Syndactyla, Roberts syndrome, Split hand/split foot malformation (SHFM), Ectrodactyly-ectodermal dysplasia-cleft lip and palate (EEC), Amniotic band sequence, Lacrimo-Auriculo-dento-digital syndrome (LADD)"
