dataset,analysis,metric,model_1,model_2,category,value,ci_lo,ci_hi,p_raw,p_adj,significant,effect_size,n,k
Eurorad,accuracy,accuracy_pct,Gemini 3.1 Pro,,Musculoskeletal system,87.234,74.8258,94.0155,,,,,47,41
Eurorad,accuracy,accuracy_pct,Gemini 3.1 Pro,,Paediatric radiology,93.3333,78.6762,98.1523,,,,,30,28
Eurorad,accuracy,accuracy_pct,Gemini 3.1 Pro,,Cardiovascular,83.3333,43.6491,96.9947,,,,,6,5
Eurorad,accuracy,accuracy_pct,Gemini 3.1 Pro,,Abdominal imaging,97.2222,85.83,99.508,,,,,36,35
Eurorad,accuracy,accuracy_pct,Gemini 3.1 Pro,,Uroradiology & genital male imaging,100.0,72.246,100.0,,,,,10,10
Eurorad,accuracy,accuracy_pct,Gemini 3.1 Pro,,Others,75.0,40.927,92.8522,,,,,8,6
Eurorad,accuracy,accuracy_pct,Gemini 3.1 Pro,,Breast imaging,100.0,56.5509,100.0,,,,,5,5
Eurorad,accuracy,accuracy_pct,Gemini 3.1 Pro,,Head & neck imaging,100.0,77.1898,100.0,,,,,13,13
Eurorad,accuracy,accuracy_pct,Gemini 3.1 Pro,,Neuroradiology,87.8049,74.4555,94.6767,,,,,41,36
Eurorad,accuracy,accuracy_pct,Gemini 3.1 Pro,,Chest imaging,100.0,74.116,100.0,,,,,11,11
Eurorad,accuracy,accuracy_pct,DeepSeek-R1,,Overall,81.6425,75.8086,86.3234,,,,,207,169
Eurorad,accuracy,accuracy_pct,DeepSeek-R1,,Musculoskeletal system,87.234,74.8258,94.0155,,,,,47,41
Eurorad,accuracy,accuracy_pct,DeepSeek-R1,,Paediatric radiology,73.3333,55.5517,85.8175,,,,,30,22
Eurorad,accuracy,accuracy_pct,DeepSeek-R1,,Cardiovascular,66.6667,29.9988,90.3231,,,,,6,4
Eurorad,accuracy,accuracy_pct,DeepSeek-R1,,Abdominal imaging,75.0,58.9292,86.2497,,,,,36,27
Eurorad,accuracy,accuracy_pct,DeepSeek-R1,,Uroradiology & genital male imaging,100.0,72.246,100.0,,,,,10,10
Eurorad,accuracy,accuracy_pct,DeepSeek-R1,,Others,75.0,40.927,92.8522,,,,,8,6
Eurorad,accuracy,accuracy_pct,DeepSeek-R1,,Breast imaging,80.0,37.5528,96.3777,,,,,5,4
Eurorad,accuracy,accuracy_pct,DeepSeek-R1,,Head & neck imaging,84.6154,57.7648,95.6743,,,,,13,11
Eurorad,accuracy,accuracy_pct,DeepSeek-R1,,Neuroradiology,85.3659,71.5562,93.1158,,,,,41,35
Eurorad,accuracy,accuracy_pct,DeepSeek-R1,,Chest imaging,81.8182,52.3014,94.8633,,,,,11,9
Eurorad,accuracy,accuracy_pct,gpt-oss-20b (H),,Overall,80.6763,74.7586,85.4762,,,,,207,167
Eurorad,accuracy,accuracy_pct,gpt-oss-20b (H),,Musculoskeletal system,87.234,74.8258,94.0155,,,,,47,41
Eurorad,accuracy,accuracy_pct,gpt-oss-20b (H),,Paediatric radiology,70.0,52.1239,83.3354,,,,,30,21
Eurorad,accuracy,accuracy_pct,gpt-oss-20b (H),,Cardiovascular,50.0,18.7613,81.2387,,,,,6,3
Eurorad,accuracy,accuracy_pct,gpt-oss-20b (H),,Abdominal imaging,80.5556,64.9716,90.247,,,,,36,29
Eurorad,accuracy,accuracy_pct,gpt-oss-20b (H),,Uroradiology & genital male imaging,100.0,72.246,100.0,,,,,10,10
Eurorad,accuracy,accuracy_pct,gpt-oss-20b (H),,Others,62.5,30.5738,86.3158,,,,,8,5
Eurorad,accuracy,accuracy_pct,gpt-oss-20b (H),,Breast imaging,40.0,11.7618,76.928,,,,,5,2
Eurorad,accuracy,accuracy_pct,gpt-oss-20b (H),,Head & neck imaging,92.3077,66.6855,98.629,,,,,13,12
Eurorad,accuracy,accuracy_pct,gpt-oss-20b (H),,Neuroradiology,85.3659,71.5562,93.1158,,,,,41,35
Eurorad,accuracy,accuracy_pct,gpt-oss-20b (H),,Chest imaging,81.8182,52.3014,94.8633,,,,,11,9
Eurorad,accuracy,accuracy_pct,gpt-oss-120b (H),,Overall,83.0918,77.3936,87.5841,,,,,207,172
Eurorad,accuracy,accuracy_pct,gpt-oss-120b (H),,Musculoskeletal system,85.1064,72.3141,92.5934,,,,,47,40
Eurorad,accuracy,accuracy_pct,gpt-oss-120b (H),,Paediatric radiology,83.3333,66.4353,92.6636,,,,,30,25
Eurorad,accuracy,accuracy_pct,gpt-oss-120b (H),,Cardiovascular,66.6667,29.9988,90.3231,,,,,6,4
Eurorad,accuracy,accuracy_pct,gpt-oss-120b (H),,Abdominal imaging,83.3333,68.1089,92.1297,,,,,36,30
Eurorad,accuracy,accuracy_pct,gpt-oss-120b (H),,Uroradiology & genital male imaging,90.0,59.5844,98.2124,,,,,10,9
Eurorad,accuracy,accuracy_pct,gpt-oss-120b (H),,Others,62.5,30.5738,86.3158,,,,,8,5
Eurorad,accuracy,accuracy_pct,gpt-oss-120b (H),,Breast imaging,60.0,23.072,88.2382,,,,,5,3
Eurorad,accuracy,accuracy_pct,gpt-oss-120b (H),,Head & neck imaging,92.3077,66.6855,98.629,,,,,13,12
Eurorad,accuracy,accuracy_pct,gpt-oss-120b (H),,Neuroradiology,85.3659,71.5562,93.1158,,,,,41,35
Eurorad,accuracy,accuracy_pct,gpt-oss-120b (H),,Chest imaging,81.8182,52.3014,94.8633,,,,,11,9
Eurorad,accuracy,accuracy_pct,Qwen3.5 9B,,Overall,76.3285,70.0911,81.6065,,,,,207,158
Eurorad,accuracy,accuracy_pct,Qwen3.5 9B,,Musculoskeletal system,89.3617,77.4055,95.3696,,,,,47,42
Eurorad,accuracy,accuracy_pct,Qwen3.5 9B,,Paediatric radiology,63.3333,45.5132,78.1263,,,,,30,19
Eurorad,accuracy,accuracy_pct,Qwen3.5 9B,,Cardiovascular,66.6667,29.9988,90.3231,,,,,6,4
Eurorad,accuracy,accuracy_pct,Qwen3.5 9B,,Abdominal imaging,72.2222,56.0072,84.1518,,,,,36,26
Eurorad,accuracy,accuracy_pct,Qwen3.5 9B,,Uroradiology & genital male imaging,100.0,72.246,100.0,,,,,10,10
Eurorad,accuracy,accuracy_pct,Qwen3.5 9B,,Others,75.0,40.927,92.8522,,,,,8,6
Eurorad,accuracy,accuracy_pct,Qwen3.5 9B,,Breast imaging,80.0,37.5528,96.3777,,,,,5,4
Eurorad,accuracy,accuracy_pct,Qwen3.5 9B,,Head & neck imaging,84.6154,57.7648,95.6743,,,,,13,11
Eurorad,accuracy,accuracy_pct,Qwen3.5 9B,,Neuroradiology,70.7317,55.5202,82.391,,,,,41,29
Eurorad,accuracy,accuracy_pct,Qwen3.5 9B,,Chest imaging,63.6364,35.3797,84.8338,,,,,11,7
Eurorad,accuracy,accuracy_pct,Qwen3.5 27B,,Overall,80.1932,74.2354,85.0508,,,,,207,166
Eurorad,accuracy,accuracy_pct,Qwen3.5 27B,,Musculoskeletal system,87.234,74.8258,94.0155,,,,,47,41
Eurorad,accuracy,accuracy_pct,Qwen3.5 27B,,Paediatric radiology,70.0,52.1239,83.3354,,,,,30,21
Eurorad,accuracy,accuracy_pct,Qwen3.5 27B,,Cardiovascular,50.0,18.7613,81.2387,,,,,6,3
Eurorad,accuracy,accuracy_pct,Qwen3.5 27B,,Abdominal imaging,83.3333,68.1089,92.1297,,,,,36,30
Eurorad,accuracy,accuracy_pct,Qwen3.5 27B,,Uroradiology & genital male imaging,90.0,59.5844,98.2124,,,,,10,9
Eurorad,accuracy,accuracy_pct,Qwen3.5 27B,,Others,75.0,40.927,92.8522,,,,,8,6
Eurorad,accuracy,accuracy_pct,Qwen3.5 27B,,Breast imaging,100.0,56.5509,100.0,,,,,5,5
Eurorad,accuracy,accuracy_pct,Qwen3.5 27B,,Head & neck imaging,92.3077,66.6855,98.629,,,,,13,12
Eurorad,accuracy,accuracy_pct,Qwen3.5 27B,,Neuroradiology,78.0488,63.2947,87.997,,,,,41,32
Eurorad,accuracy,accuracy_pct,Qwen3.5 27B,,Chest imaging,63.6364,35.3797,84.8338,,,,,11,7
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B,,Overall,84.058,78.4573,88.4175,,,,,207,174
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B,,Musculoskeletal system,89.3617,77.4055,95.3696,,,,,47,42
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B,,Paediatric radiology,80.0,62.694,90.495,,,,,30,24
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B,,Cardiovascular,50.0,18.7613,81.2387,,,,,6,3
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B,,Abdominal imaging,83.3333,68.1089,92.1297,,,,,36,30
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B,,Uroradiology & genital male imaging,100.0,72.246,100.0,,,,,10,10
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B,,Others,75.0,40.927,92.8522,,,,,8,6
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B,,Breast imaging,100.0,56.5509,100.0,,,,,5,5
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B,,Head & neck imaging,92.3077,66.6855,98.629,,,,,13,12
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B,,Neuroradiology,82.9268,68.7371,91.4749,,,,,41,34
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B,,Chest imaging,72.7273,43.435,90.2541,,,,,11,8
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B FT,,Overall,87.9227,82.7792,91.6843,,,,,207,182
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B FT,,Musculoskeletal system,95.7447,85.7512,98.8252,,,,,47,45
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B FT,,Paediatric radiology,86.6667,70.3183,94.6904,,,,,30,26
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B FT,,Cardiovascular,66.6667,29.9988,90.3231,,,,,6,4
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B FT,,Abdominal imaging,88.8889,74.6849,95.5934,,,,,36,32
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B FT,,Uroradiology & genital male imaging,90.0,59.5844,98.2124,,,,,10,9
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B FT,,Others,62.5,30.5738,86.3158,,,,,8,5
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B FT,,Breast imaging,100.0,56.5509,100.0,,,,,5,5
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B FT,,Head & neck imaging,84.6154,57.7648,95.6743,,,,,13,11
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B FT,,Neuroradiology,85.3659,71.5562,93.1158,,,,,41,35
Eurorad,accuracy,accuracy_pct,Qwen3.5 35B FT,,Chest imaging,90.9091,62.2635,98.3768,,,,,11,10
Eurorad,accuracy,accuracy_pct,Gemma 4 31B,,Overall,86.4734,81.1448,90.473,,,,,207,179
Eurorad,accuracy,accuracy_pct,Gemma 4 31B,,Musculoskeletal system,89.3617,77.4055,95.3696,,,,,47,42
Eurorad,accuracy,accuracy_pct,Gemma 4 31B,,Paediatric radiology,83.3333,66.4353,92.6636,,,,,30,25
Eurorad,accuracy,accuracy_pct,Gemma 4 31B,,Cardiovascular,83.3333,43.6491,96.9947,,,,,6,5
Eurorad,accuracy,accuracy_pct,Gemma 4 31B,,Abdominal imaging,83.3333,68.1089,92.1297,,,,,36,30
Eurorad,accuracy,accuracy_pct,Gemma 4 31B,,Uroradiology & genital male imaging,100.0,72.246,100.0,,,,,10,10
Eurorad,accuracy,accuracy_pct,Gemma 4 31B,,Others,75.0,40.927,92.8522,,,,,8,6
Eurorad,accuracy,accuracy_pct,Gemma 4 31B,,Breast imaging,100.0,56.5509,100.0,,,,,5,5
Eurorad,accuracy,accuracy_pct,Gemma 4 31B,,Head & neck imaging,84.6154,57.7648,95.6743,,,,,13,11
Eurorad,accuracy,accuracy_pct,Gemma 4 31B,,Neuroradiology,87.8049,74.4555,94.6767,,,,,41,36
Eurorad,accuracy,accuracy_pct,Gemma 4 31B,,Chest imaging,81.8182,52.3014,94.8633,,,,,11,9
Eurorad,fisher_exact_subspecialty,p_value,best_proprietary,best_on_device,Musculoskeletal system,,,,0.2673,1.0,no,,,
Eurorad,fisher_exact_subspecialty,p_value,best_proprietary,best_on_device,Paediatric radiology,,,,0.6707,1.0,no,,,
Eurorad,fisher_exact_subspecialty,p_value,best_proprietary,best_on_device,Cardiovascular,,,,0.4545,1.0,no,,,
Eurorad,fisher_exact_subspecialty,p_value,best_proprietary,best_on_device,Abdominal imaging,,,,0.357,1.0,no,,,
Eurorad,fisher_exact_subspecialty,p_value,best_proprietary,best_on_device,Uroradiology & genital male imaging,,,,1.0,1.0,no,,,
Eurorad,fisher_exact_subspecialty,p_value,best_proprietary,best_on_device,Others,,,,1.0,1.0,no,,,
Eurorad,fisher_exact_subspecialty,p_value,best_proprietary,best_on_device,Breast imaging,,,,1.0,1.0,no,,,
Eurorad,fisher_exact_subspecialty,p_value,best_proprietary,best_on_device,Head & neck imaging,,,,1.0,1.0,no,,,
Eurorad,fisher_exact_subspecialty,p_value,best_proprietary,best_on_device,Neuroradiology,,,,1.0,1.0,no,,,
Eurorad,fisher_exact_subspecialty,p_value,best_proprietary,best_on_device,Chest imaging,,,,1.0,1.0,no,,,
Eurorad,mcnemar,p_value,GPT-5.1,GPT-5-mini,,,,,0.0162,0.5978,no,6.0,,
Eurorad,mcnemar,p_value,GPT-5.1,Gemini 3.1 Pro,,,,,0.2278,1.0,no,0.375,,
Eurorad,mcnemar,p_value,GPT-5.1,DeepSeek-R1,,,,,0.0033,0.1371,no,4.2,,
Eurorad,mcnemar,p_value,GPT-5.1,gpt-oss-20b (H),,,,,0.0013,0.0592,no,4.6,,
Eurorad,mcnemar,p_value,GPT-5.1,gpt-oss-120b (H),,,,,0.0059,0.2362,no,5.3333,,
Eurorad,mcnemar,p_value,GPT-5.1,Qwen3.5 9B,,,,,0.0,0.0006,yes,7.75,,
Eurorad,mcnemar,p_value,GPT-5.1,Qwen3.5 27B,,,,,0.0012,0.0564,no,4.1667,,
Eurorad,mcnemar,p_value,GPT-5.1,Qwen3.5 35B,,,,,0.0291,1.0,no,3.2,,
Eurorad,mcnemar,p_value,GPT-5.1,Qwen3.5 35B FT,,,,,0.6767,1.0,no,1.3,,
Eurorad,mcnemar,p_value,GPT-5.1,Gemma 4 31B,,,,,0.3268,1.0,no,1.6,,
Eurorad,mcnemar,p_value,GPT-5-mini,Gemini 3.1 Pro,,,,,0.0007,0.0322,yes,0.0625,,
Eurorad,mcnemar,p_value,GPT-5-mini,DeepSeek-R1,,,,,0.3074,1.0,no,1.6667,,
Eurorad,mcnemar,p_value,GPT-5-mini,gpt-oss-20b (H),,,,,0.1356,1.0,no,2.1429,,
Eurorad,mcnemar,p_value,GPT-5-mini,gpt-oss-120b (H),,,,,0.6276,1.0,no,1.4286,,
Eurorad,mcnemar,p_value,GPT-5-mini,Qwen3.5 9B,,,,,0.0041,0.1663,no,3.4286,,
Eurorad,mcnemar,p_value,GPT-5-mini,Qwen3.5 27B,,,,,0.1237,1.0,no,2.0,,
Eurorad,mcnemar,p_value,GPT-5-mini,Qwen3.5 35B,,,,,1.0,1.0,no,1.1,,
Eurorad,mcnemar,p_value,GPT-5-mini,Qwen3.5 35B FT,,,,,0.2652,1.0,no,0.6111,,
Eurorad,mcnemar,p_value,GPT-5-mini,Gemma 4 31B,,,,,0.5563,1.0,no,0.7333,,
Eurorad,mcnemar,p_value,Gemini 3.1 Pro,DeepSeek-R1,,,,,0.0003,0.0164,yes,5.2,,
Eurorad,mcnemar,p_value,Gemini 3.1 Pro,gpt-oss-20b (H),,,,,0.0001,0.004,yes,6.75,,
Eurorad,mcnemar,p_value,Gemini 3.1 Pro,gpt-oss-120b (H),,,,,0.0005,0.025,yes,7.0,,
Eurorad,mcnemar,p_value,Gemini 3.1 Pro,Qwen3.5 9B,,,,,0.0,0.0,yes,11.6667,,
Eurorad,mcnemar,p_value,Gemini 3.1 Pro,Qwen3.5 27B,,,,,0.0,0.0025,yes,7.0,,
Eurorad,mcnemar,p_value,Gemini 3.1 Pro,Qwen3.5 35B,,,,,0.0014,0.0609,no,6.3333,,
Eurorad,mcnemar,p_value,Gemini 3.1 Pro,Qwen3.5 35B FT,,,,,0.1698,1.0,no,1.8889,,
Eurorad,mcnemar,p_value,Gemini 3.1 Pro,Gemma 4 31B,,,,,0.0371,1.0,no,2.8333,,
Eurorad,mcnemar,p_value,DeepSeek-R1,gpt-oss-20b (H),,,,,0.8026,1.0,no,1.2857,,
Eurorad,mcnemar,p_value,DeepSeek-R1,gpt-oss-120b (H),,,,,0.6625,1.0,no,0.75,,
Eurorad,mcnemar,p_value,DeepSeek-R1,Qwen3.5 9B,,,,,0.0543,1.0,no,2.375,,
Eurorad,mcnemar,p_value,DeepSeek-R1,Qwen3.5 27B,,,,,0.7103,1.0,no,1.2308,,
Eurorad,mcnemar,p_value,DeepSeek-R1,Qwen3.5 35B,,,,,0.4042,1.0,no,0.6429,,
Eurorad,mcnemar,p_value,DeepSeek-R1,Qwen3.5 35B FT,,,,,0.0311,1.0,no,0.4091,,
Eurorad,mcnemar,p_value,DeepSeek-R1,Gemma 4 31B,,,,,0.1116,1.0,no,0.5238,,
Eurorad,mcnemar,p_value,gpt-oss-20b (H),gpt-oss-120b (H),,,,,0.3588,1.0,no,0.5833,,
Eurorad,mcnemar,p_value,gpt-oss-20b (H),Qwen3.5 9B,,,,,0.1508,1.0,no,1.8182,,
Eurorad,mcnemar,p_value,gpt-oss-20b (H),Qwen3.5 27B,,,,,1.0,1.0,no,1.0625,,
Eurorad,mcnemar,p_value,gpt-oss-20b (H),Qwen3.5 35B,,,,,0.2301,1.0,no,0.5625,,
Eurorad,mcnemar,p_value,gpt-oss-20b (H),Qwen3.5 35B FT,,,,,0.0119,0.453,no,0.3478,,
Eurorad,mcnemar,p_value,gpt-oss-20b (H),Gemma 4 31B,,,,,0.0592,1.0,no,0.4783,,
Eurorad,mcnemar,p_value,gpt-oss-120b (H),Qwen3.5 9B,,,,,0.0303,1.0,no,2.2727,,
Eurorad,mcnemar,p_value,gpt-oss-120b (H),Qwen3.5 27B,,,,,0.3768,1.0,no,1.4615,,
Eurorad,mcnemar,p_value,gpt-oss-120b (H),Qwen3.5 35B,,,,,0.8383,1.0,no,0.8462,,
Eurorad,mcnemar,p_value,gpt-oss-120b (H),Qwen3.5 35B FT,,,,,0.1116,1.0,no,0.5238,,
Eurorad,mcnemar,p_value,gpt-oss-120b (H),Gemma 4 31B,,,,,0.2812,1.0,no,0.6316,,
Eurorad,mcnemar,p_value,Qwen3.5 9B,Qwen3.5 27B,,,,,0.1175,1.0,no,0.4286,,
Eurorad,mcnemar,p_value,Qwen3.5 9B,Qwen3.5 35B,,,,,0.0022,0.0946,no,0.2,,
Eurorad,mcnemar,p_value,Qwen3.5 9B,Qwen3.5 35B FT,,,,,0.0003,0.0141,yes,0.25,,
Eurorad,mcnemar,p_value,Qwen3.5 9B,Gemma 4 31B,,,,,0.0005,0.0244,yes,0.2222,,
Eurorad,mcnemar,p_value,Qwen3.5 27B,Qwen3.5 35B,,,,,0.1698,1.0,no,0.5294,,
Eurorad,mcnemar,p_value,Qwen3.5 27B,Qwen3.5 35B FT,,,,,0.0101,0.3938,no,0.36,,
Eurorad,mcnemar,p_value,Qwen3.5 27B,Gemma 4 31B,,,,,0.0367,1.0,no,0.4348,,
Eurorad,mcnemar,p_value,Qwen3.5 35B,Qwen3.5 35B FT,,,,,0.099,1.0,no,0.3846,,
Eurorad,mcnemar,p_value,Qwen3.5 35B,Gemma 4 31B,,,,,0.3827,1.0,no,0.6154,,
Eurorad,mcnemar,p_value,Qwen3.5 35B FT,Gemma 4 31B,,,,,0.7003,1.0,no,1.25,,
Eurorad,fleiss_kappa,kappa,GPT-5.1,,,0.8115,0.682,0.9069,,,,,,
Eurorad,fleiss_kappa,kappa,GPT-5-mini,,,0.913,0.8455,0.97,,,,,,
Eurorad,fleiss_kappa,kappa,Gemini 3.1 Pro,,,0.858,0.7284,0.954,,,,,,
Eurorad,fleiss_kappa,kappa,DeepSeek-R1,,,0.7907,0.695,0.8728,,,,,,
Eurorad,fleiss_kappa,kappa,gpt-oss-20b (H),,,0.6729,0.5643,0.7676,,,,,,
Eurorad,fleiss_kappa,kappa,gpt-oss-120b (H),,,0.8193,0.73,0.8979,,,,,,
Eurorad,fleiss_kappa,kappa,Qwen3.5 9B,,,0.8506,0.7775,0.914,,,,,,
Eurorad,fleiss_kappa,kappa,Qwen3.5 27B,,,0.8244,0.7343,0.8954,,,,,,
Eurorad,fleiss_kappa,kappa,Qwen3.5 35B,,,0.9023,0.8331,0.9617,,,,,,
Eurorad,fleiss_kappa,kappa,Qwen3.5 35B FT,,,0.5828,0.4381,0.7001,,,,,,
Eurorad,fleiss_kappa,kappa,Gemma 4 31B,,,0.973,0.9241,1.0,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5.1,GPT-5-mini,,0.7034,0.5354,0.8384,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5.1,Gemini 3.1 Pro,,0.6891,0.4803,0.8476,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5.1,DeepSeek-R1,,0.4993,0.3306,0.6498,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5.1,gpt-oss-20b (H),,0.4766,0.3066,0.6288,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5.1,gpt-oss-120b (H),,0.6166,0.4481,0.7648,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5.1,Qwen3.5 9B,,0.4223,0.2672,0.562,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5.1,Qwen3.5 27B,,0.4289,0.2535,0.5776,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5.1,Qwen3.5 35B,,0.5624,0.3818,0.7123,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5.1,Qwen3.5 35B FT,,0.4483,0.2319,0.623,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5.1,Gemma 4 31B,,0.4097,0.2004,0.5767,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5-mini,Gemini 3.1 Pro,,0.6114,0.4243,0.763,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5-mini,DeepSeek-R1,,0.588,0.4362,0.7288,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5-mini,gpt-oss-20b (H),,0.6311,0.4843,0.757,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5-mini,gpt-oss-120b (H),,0.6974,0.5455,0.8227,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5-mini,Qwen3.5 9B,,0.5292,0.384,0.663,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5-mini,Qwen3.5 27B,,0.5524,0.3951,0.6891,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5-mini,Qwen3.5 35B,,0.6168,0.4512,0.7566,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5-mini,Qwen3.5 35B FT,,0.4114,0.2092,0.5827,,,,,,
Eurorad,cohen_kappa,kappa,GPT-5-mini,Gemma 4 31B,,0.4936,0.3081,0.6511,,,,,,
Eurorad,cohen_kappa,kappa,Gemini 3.1 Pro,DeepSeek-R1,,0.3642,0.1884,0.5235,,,,,,
Eurorad,cohen_kappa,kappa,Gemini 3.1 Pro,gpt-oss-20b (H),,0.3853,0.2053,0.544,,,,,,
Eurorad,cohen_kappa,kappa,Gemini 3.1 Pro,gpt-oss-120b (H),,0.4811,0.2956,0.6408,,,,,,
Eurorad,cohen_kappa,kappa,Gemini 3.1 Pro,Qwen3.5 9B,,0.3443,0.1917,0.4879,,,,,,
Eurorad,cohen_kappa,kappa,Gemini 3.1 Pro,Qwen3.5 27B,,0.3758,0.1965,0.5184,,,,,,
Eurorad,cohen_kappa,kappa,Gemini 3.1 Pro,Qwen3.5 35B,,0.5065,0.3235,0.6667,,,,,,
Eurorad,cohen_kappa,kappa,Gemini 3.1 Pro,Qwen3.5 35B FT,,0.3139,0.1127,0.5078,,,,,,
Eurorad,cohen_kappa,kappa,Gemini 3.1 Pro,Gemma 4 31B,,0.4307,0.2173,0.6041,,,,,,
Eurorad,cohen_kappa,kappa,DeepSeek-R1,gpt-oss-20b (H),,0.7473,0.6217,0.8594,,,,,,
Eurorad,cohen_kappa,kappa,DeepSeek-R1,gpt-oss-120b (H),,0.6509,0.5144,0.7837,,,,,,
Eurorad,cohen_kappa,kappa,DeepSeek-R1,Qwen3.5 9B,,0.6088,0.4642,0.7335,,,,,,
Eurorad,cohen_kappa,kappa,DeepSeek-R1,Qwen3.5 27B,,0.5465,0.3899,0.6884,,,,,,
Eurorad,cohen_kappa,kappa,DeepSeek-R1,Qwen3.5 35B,,0.6094,0.4559,0.7502,,,,,,
Eurorad,cohen_kappa,kappa,DeepSeek-R1,Qwen3.5 35B FT,,0.424,0.2488,0.5865,,,,,,
