6,Topic,Type,Question,GT,gpt5-0807-m1,gpt5-0807-m2,gpt5-0807-m3,gpt-5.1-1113-m1,gpt-5.1-1113-m2,gpt-5.1-1113-m3,gpt-5.2-1211-m1,gpt-5.2-1211-m2,gpt-5.2-1211-m3,gpt-5-mini-0807-m1,gpt-5-mini-0807-m2,gpt-5-mini-0807-m3,o4-mini-m1,o4-mini-m2,o4-mini-m3,gemini-3.1-pro-m1,gemini-3.1-pro-m2,gemini-3.1-pro-m3,ds-r1-0528-v1,ds-r1-0528-v2,ds-r1-0528-v3,oss20b (L) v1,oss20b (L) v2,oss20b (L) v3,oss20b (M) v1,oss20b (M) v2,oss20b (M) v3,oss20b (H) v1,oss20b (H) v2,oss20b (H) v3,oss120b (L) v1,oss120b (L) v2,oss120b (L) v3,oss120b (M) v1,oss120b (M) v2,oss120b (M) v3,oss120b (H) v1,oss120b (H) v2,oss120b (H) v3,qwen3.5 35B v1,qwen3.5 35B v2,qwen3.5 35B v3,qwen3.5 9B v1,qwen3.5 9B v2,qwen3.5 9B v3,qwen3.5 27B v1,qwen3.5 27B v2,qwen3.5 27B v3
11.0,Retinal Diseases,Management,"Female, 32 years old. Complains of redness, pain, and blurred vision in the right eye for 1 week. History of herpes zoster (lumbar region) 1 month ago.  
**Ophthalmic Examination**:  
- Visual acuity: Right eye 0.4 (uncorrected); Left eye 1.2.  
- Right eye: Ciliary congestion, mutton-fat keratic precipitates (KP), Tyndall phenomenon (+). Pupil is round and normal in size. Lens is clear. Moderate inflammatory cells observed in the vitreous.  
- Fundus examination: Mild disc hyperemia with well-defined margins. Retinal edema present. Arterioles are attenuated. Peripheral and mid-peripheral arterioles exhibit a white thread-like appearance with white sheathing. Patchy yellowish-white exudates and scattered hemorrhages observed in the peripheral retina.  

**[Multiple Choice Question]**  
Fluorescein fundus angiography (FFA) findings in this condition may include:  
A. Peripheral retina shows patchy hypofluorescence in early phases and hyperfluorescence in late phases.  
B. Late-phase optic disc hyperfluorescence.  
C. Mottled hyperfluorescence in localized retinal areas.  
D. Peripheral retinal non-perfusion zones.  
E. Delayed arteriovenous filling, segmental arterial filling, and vascular wall leakage of fluorescein.  
F. Petaloid hyperfluorescence in the macular region during late-phase angiography.  ",ABCDE,ABDEF,ABCDEF,ABDEF,ABDEF,ABDEF,ABDEF,ABDEF,ABDE,ABDEF,ABCDE,ABCDF,ABCDEF,ABCDE,ABDE,ABDE,ABCDEF,ABCDEF,ABCDEF,ABDE,ABDE,BE,ABDE,ABCDE,ABDE,ACDE,ABCDE,ACDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABCDE,ABDE,ABDE,ABDE,ABDE,ABCDE,ABDE,ABDEF,ABDEF,ABDE,E,E,ABCDE,ABDE,ABDE
12.0,Retinal Diseases,Management,"Female, 32 years old. Complains of redness, pain, and blurred vision in the right eye for 1 week. History of herpes zoster (lumbar region) 1 month ago. **Ophthalmic examination:**  
- **Visual acuity:** Right eye 0.4 (uncorrected), Left eye 1.2.  
- **Right eye:** Ciliary congestion, mutton-fat keratic precipitates (KP), Tydall (+) in the anterior chamber, isocoric and round pupil, clear lens, moderate inflammatory cells in the vitreous.  
- **Fundus:** Mild optic disc hyperemia with sharp margins, mild retinal edema, attenuated retinal arteries, peripheral and mid-peripheral arteries appearing as white threads with sheathing, and patchy yellowish-white exudative foci with scattered hemorrhages in the peripheral retina.  

[Multiple-choice Questions] 16. Current treatment options for this patient include:  
A. Intravitreal injection of corticosteroids  
B. Intravitreal injection of antiviral agents  
C. Systemic antiviral therapy  
D. Systemic corticosteroids  
E. Vitrectomy  
F. Laser photocoagulation at the junction between the normal retina and the lesion area  ",CDEF,BCDF,BCDF,BCDF,BCDF,BCDF,BCD,BCDEF,BCDF,CDF,BCDF,BCD,BCD,BCDF,BCDF,BCDF,BCDF,BCDF,BCD,BCDF,ACDF,BCD,CD,BCDF,CD,BCDE,BCDF,BCDE,BCDF,BCDF,BCDEF,BCDF,BCDEF,BCDF,BCDF,BCDF,BCDF,BCDF,BCDF,BCDEF,BCD,BCDF,BCDF,CDF,CDF,CD,BCDF,BCDF,BCDF
13.0,Anterior Segment Diseases,Diagnosis,"Male, 38 years old. Presents with severe ocular pain, photophobia, tearing, and decreased visual acuity in the right eye. Examination reveals mixed congestion (prominent in the temporal region) and infiltrations in the peripheral corneal stroma from point to point.  

**[Multiple-choice Question]**  
The most likely diagnosis is:  
A. Mooren's ulcer  
B. Terrien's marginal degeneration  
C. Bacterial keratitis  
D. Lattice corneal dystrophy  
E. Fungal keratitis  
F. Herpes simplex keratitis  
",A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,C,A,A,A,A,A,A,A,A,A,A,A,A,E,A,A,A,A,A
14.0,Anterior Segment Diseases,Management,"Male, 38 years old. Right eye presents with severe ocular pain, photophobia, lacrimation, and decreased visual acuity. Examination reveals mixed congestion (predominantly temporal) and punctate-to-punctate stromal infiltrates in the peripheral corneal stroma.

[Multiple Choice Question]  
Which additional examinations should be considered if required:  
A. Anti-neutrophil cytoplasmic antibodies (ANCA)  
B. Rheumatoid factor  
C. Complete blood count (CBC)  
D. Urinalysis  
E. Hemorrheology tests  
F. Antinuclear antibody (ANA)  ",ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDEF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABCDF,ABDF,ABDF,ABCDF,ABCDF,AB,AB,ABCDF,ABCDF,ABCDF
15.0,Anterior Segment Diseases,Diagnosis,"A 38-year-old male patient presents with severe right eye pain, photophobia, tearing, and decreased vision. Examination reveals mixed congestion (predominantly in the temporal region) and infiltrates in the peripheral corneal stroma extending from point to point.  

**[Multiple Choice Question]**  
Differential diagnoses to consider include:  
A. Band-shaped corneal degeneration  
B. Herpes simplex keratitis  
C. Lattice corneal dystrophy  
D. Fungal keratitis  
E. Bacterial keratitis  
F. Terrien's marginal degeneration  ",ADEF,BDEF,BDEF,BDEF,BDEF,BDEF,BDEF,BDE,BDE,BDEF,BDE,BDE,BDE,BDE,BDE,BDE,BDE,BDE,BDE,BDE,D,BDE,BDE,BDE,BDE,BDE,BDE,BDE,DE,DE,BDE,BDE,BDE,BDE,BDE,BDE,BDE,BDE,BDE,BDE,E,E,BDE,D,D,D,D,BDE,BDE
16.0,Anterior Segment Diseases,Management,"A 38-year-old male patient presents with severe right eye pain, photophobia, tearing, and decreased vision. Examination reveals mixed congestion (most prominent temporally) and corneal infiltrates in the peripheral stroma from point to point.  

[Multiple-choice Questions]  
**Which of the following are correct treatments for this condition?**  
A. FK-506 eye drops  
B. Cyclosporine A eye drops  
C. Lamellar keratoplasty  
D. Amphotericin B  
E. Gentamicin  
F. Topical corticosteroids eye drops  
G. 2% cysteine eye drops  ",ABCFG,ABCFG,ABCF,EF,ABCFG,ABCF,ABCFG,ABCFG,ABCFG,ABCFG,BEF,BEF,BEF,EF,EF,EF,ABCFG,ABCFG,ABCFG,ABCFG,ABCF,ABCF,E,DG,BEF,DEG,DEF,DEG,CD,CD,DE,F,CF,F,EF,ABCF,CF,CF,F,ABCF,ABCFG,ABCFG,ABCF,AF,D,CD,ABCF,ABCF,ABCFG
17.0,Ocular Trauma,Management,"A 32-year-old male presented to the emergency department at 9:00 PM on the same day with a 2-hour history of left eye pain and visual impairment following a stab injury with a small knife by an assailant. No prior ocular or systemic medical history.  
**Examination:** Alert, vital signs: T 37°C, P 74 bpm, R 27/min, BP 135/86 mmHg. Visual acuity: OD 1.5, OS hand motion at 10 cm. Left eye shows conjunctival congestion and lateral subconjunctival hemorrhage. A 6-mm vertical laceration perpendicular to the limbus is observed at 6 mm external to the 2 o'clock corneal limbus, with incarcerated uveal tissue. Cornea is clear, anterior chamber hyphema present, and other intraocular structures not visualized.  

[Multiple-choice Questions]  
**What interventions should the attending physician prioritize immediately?**  
A. Semi-recumbent positioning  
B. Hemostasis  
C. Antibiotic prophylaxis  
D. Surgical repair  
E. Intraocular pressure measurement  
F. Tetanus antitoxin administration  ",D,ACDF,ACDF,ACDF,ABCDF,ABCDF,ACDF,ABCDF,ACDF,ABCDF,ACDF,ABCDF,ACDF,ACDF,ACDF,ACDF,ACDF,CDF,ACDF,CDEF,BCDF,CDF,BD,ABCDEF,BCDF,ABCDF,BCF,ABCDF,ABCDEF,BCDF,BCDF,BCDF,CDF,CDF,BCDF,CDF,BCDF,CDF,CDF,CDF,ACDF,ACDF,ACDF,ACDF,ACDF,ACDF,ACDF,ACDF,ACDF
18.0,Ocular Trauma,Management,"Male, 32 years old. Emergency admission at 9:00 PM due to left eye injury caused by a knife stab from an assailant 2 hours prior, accompanied by pain and visual impairment. No prior medical history or ocular diseases.  
**Examination Findings:**  
Conscious. Vital signs: T 37°C, P 74 bpm, R 27 bpm, BP 135/86 mmHg.  
Visual acuity: Right eye 1.5; Left eye hand motion at 10 cm.  
Left eye findings: Conjunctival congestion and lateral subconjunctival hemorrhage. A 6-mm vertical laceration parallel to the limbus, located 6 mm external to the 2 o'clock corneal limbus, with incarcerated uveal tissue. Cornea transparent. Hyphema present. Remaining structures cannot be visualized.  

**[Multiple-choice Questions] Clues:** Emergency surgery is planned. Which procedure is most ideal for this patient?  
A. Debridement with suturing and local antibiotic injection  
B. Excision of prolapsed uveal tissue with conjunctival and scleral wound closure  
C. Repositioning of prolapsed uveal tissue with conjunctival and scleral wound closure  
D. Repositioning of prolapsed uveal tissue with conjunctival/scleral wound closure and local electrocoagulation  
E. Anterior chamber paracentesis for blood drainage  
F. Vitrectomy  ",C,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,D,D,D,C,C,C,D,D,C,D,C,D,C,C,C,C,C,D,C,C,C,C,C,C,B,B,B,C,C,C,C,C,B
19.0,Ocular Trauma,Management,"A 32-year-old male presented to the emergency department at 9 PM with a 2-hour history of left eye pain and vision loss following a stab injury with a knife by an assailant. No prior ocular or systemic medical history.  
**Examination Findings:**  
Conscious, vital signs: T 37°C, P 74 bpm, R 27 breaths/min, BP 135/86 mmHg.  
Visual acuity: Right eye 1.5; Left eye hand motion at 10 cm before the eye.  
Left eye findings: Conjunctival congestion and lateral subconjunctival hemorrhage. A 6 mm perpendicular conjunctival and scleral wound located 6 mm external to the 2 o'clock position of the corneal limbus, with incarcerated uveal tissue. Cornea transparent, hyphema present. Posterior segment not visualized.  

**[Multiple Choice Question]**  
**Clinical Note:**  
10 days post-admission, the wound shows good apposition, and hyphema has mostly resolved. However, vision remains unimproved (hand motion at 25 cm).  

**Which factors may contribute to the lack of visual improvement?**  
A. Secondary glaucoma  
B. Corneal edema  
C. Traumatic cataract  
D. Vitreous hemorrhage  
E. Optic nerve contusion  
F. Retinal detachment  
",ACDF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ACDEF,ACDEF,ACDEF,ABCDEF,ABCDEF,ABCDEF,DF,DF,ADF,ABCDEF,ABCDEF,ABCDEF,ACDF,ACDF,ACDF,ACDEF,ACDEF,ACDEF,ACDEF,ABCDEF,ACDEF,ACDEF,ACDEF,ACDEF,ACDEF,ACDEF,ABCDEF,ACDEF,ACDF,ACDF,ACDF,ACDEF,ACDEF,CDF,CDF,CDF,ACD,CDEF,ACDF,ACDF,CDF,ACDEF
20.0,Ocular Trauma,Management,"A 32-year-old male patient was admitted to the emergency department at 9:00 PM due to a left eye injury caused by a knife stab from an assailant 2 hours prior, accompanied by pain and visual impairment. He has no prior medical or ocular history. Physical examination: Alert consciousness, T: 37°C, P: 74 bpm, R: 27 breaths/min, BP: 135/86 mmHg. Visual acuity: Right eye 1.5, Left eye hand movement at 10cm before the eye. Left eye exhibits conjunctival congestion and lateral subconjunctival hemorrhage. A 6mm long conjunctival and scleral wound perpendicular to the limbus is observed at 6mm from the 2 o'clock position of the corneal limbus, with incarcerated uveal tissue in the wound. The cornea is transparent, hyphema is present, and other intraocular structures are not visible. Ten days after admission, the wound is well-approximated, and most of the hyphema has resolved, but visual acuity remains unchanged (hand movement at 25cm).  

[Multiple-choice Question]  **Clues:**  
Schiotz tonometry measurements: Right eye 2 mmHg, Left eye 21 mmHg. Which further examinations should be performed to determine the cause of persistent visual impairment?  
**Options:**  
A. Ocular B-scan ultrasound  
B. Color Doppler imaging of the ophthalmic artery and central retinal artery  
C. Electroretinogram (ERG)  
D. Pattern Visual Evoked Potential (PVEP)  
E. Flash Visual Evoked Potential (FVEP)  
F. Electroencephalogram (EEG)  

",ACE,ACE,ACE,ACE,ACE,ACE,ACE,ACE,ACE,ACE,ACE,ACE,ACE,ACE,ACE,ACE,ACE,ACE,ACE,ACE,ACDE,ACE,ACDE,ACDE,ACDE,ACDE,ACDE,ACDE,ACDE,ACE,ACDE,AE,ACE,ACE,ACE,AE,ACE,AE,AE,ACE,A,A,A,A,A,A,ACE,A,A
21.0,Ocular Trauma,Management,"A 32-year-old male patient presented to the emergency department at 9 PM with a 2-hour history of left eye pain and vision loss after being stabbed with a knife by an assailant. He had no prior ocular or systemic medical history. Physical examination revealed clear consciousness, vital signs: T 37°C, P 74 bpm, R 27 bpm, BP 135/86 mmHg. Visual acuity: right eye 1.5, left eye hand motion at 10 cm. Left eye exhibited conjunctival congestion and lateral subconjunctival hemorrhage. A 6-mm vertical laceration parallel to the limbus was observed 6 mm from the limbus at the 2 o'clock position, with incarcerated uveal tissue. The cornea was clear, hyphema was present, and remaining intraocular structures could not be visualized. Ten days post-admission, the wound was well approximated, hyphema had mostly resolved, but vision remained unchanged (hand motion at 25 cm). Intraocular pressure (Schiotz tonometer): right eye 2 mmHg, left eye 21 mmHg.

[Multiple-choice Question]  
**Clues:** B-scan showed lens and vitreous opacities without retinal detachment. PVEP showed no detectable waveforms (healthy eye amplitude: 17 μV, latency 98 ms); FVEP amplitude 8 μV, latency 87 ms.  
**What is the most effective intervention to improve vision?**  
A. Hemostasis  
B. Cataract extraction  
C. Intravitreal injection of urokinase  
D. Vitrectomy  
E. Lensectomy + vitrectomy  
F. Lensectomy + vitrectomy + IOL implantation  ",F,E,F,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,F,F,F,F,E,F,F,F,F,E,E,E,E,E,F,E,F,E,F,E,E,E,E,E,E,E,E,E,E
22.0,Ocular Trauma,Management,"A 32-year-old male patient presented to the emergency department at 9 PM with a 2-hour history of left ocular penetrating injury caused by a knife attack, accompanied by pain and visual impairment. No significant past medical or ocular history. Physical examination: Alert consciousness, T: 37°C, P: 74 bpm, R: 27/min, BP: 135/86 mmHg. Visual acuity: right eye 1.5, left eye hand motion at 10 cm. Left eye exhibited conjunctival congestion and lateral subconjunctival hemorrhage. A 6-mm vertical laceration parallel to the corneal limbus was observed at 6 mm posterior to the 2 o'clock limbus, with incarcerated uveal tissue. Cornea remained transparent. Hyphema was present with obscured visualization of posterior structures. 

Ten days post-admission: Well-approximated wound edges, significant resolution of hyphema, yet unimproved visual acuity (hand motion at 25 cm). Schiotz tonometry: Right eye 2 mmHg, Left eye 21 mmHg. B-scan ultrasound revealed lens and vitreous opacities without retinal detachment. PVEP showed absent waveforms (healthy eye amplitude: 17μV, latency: 98 ms). FVEP amplitude measured 8μV with 87 ms latency.

[Multiple-choice Question] Which of the following are indications for posterior segment vitrectomy?  
A. Primary retinal detachment  
B. Penetrating ocular injury with vitreous hemorrhage and retinal detachment  
C. Intraocular non-magnetic foreign body injury  
D. Hyphema  
E. Vitreous organization and epiretinal membrane  
F. Fresh vitreous hemorrhage  ",ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,BCE,BCEF,ABCE,ABCEF,ABCEF,BCE,ABCEF,ABCEF,ABCEF,ABCE,ABCEF,ABCE,ABCEF,ABCEF,ABCEF,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE,ABCE
